OriginalTweet,Sentiment
pro tip always take receipt supermarket restaurant keep back pocket saved as covid coronaviruspandemic coronvirus,Negative
supermarket today touching anything covid,Neutral
coronavirus lockdown effective virus survives hour air day cardboard lovely online shopping delivery day metal stop transmission entirely china style lockdown burn existing case coronavirusuk,Positive
damn pasta supermarket needed use lasagne sheet toilet paper covid coronaoutbreak coronavirusuk coronavirus panicbuying,Negative
sitewide let coronavirus prevent shopping were giving customer deal employee encouraging shop online save big thru monday,Positive
tip self protection prevent coronavirus shopping online were giving customer sitewide stay home stay healthy discount automatically applied checkout,Positive
prevent coronavirus shopping online grassrootscali giving customer every onlinr purchase monday shoponline shopnow,Positive
grocery store line eugene or am pst way back store curving along back wall tp rice bean coronavirus,Negative
i m back local grocery store pretty much sum toilet paper section coronavirus fortunately stocked week ago know people go crazy tp there s unnecessary panic toiletpaper,Negative
lineup muslim brotherhood run red tomato rancho cucamonga stretch around entire inside perimetre grocery store covid coronapocalypse,Neutral
lineup small town ontario canada grocery store insane tonight covid,Negative
spent grocery store picked shelf and toilet paper solely planned anticipated multiple overtime shift due critical staffing shortage together flattenthecurve covid,Negative
covid coronavirus update netherlands compared yesterday new number this total infected case number death paid looting supermarket toiletpaper milk pasta surely thing gt,Positive
word day hamsteren mean hoarding stock piling way hamster do hamster stuff cheek food carry burrow much like stubborn dutchies well even though necessary all coronavirusupdate covid,Positive
love government like send mixed covid message please work home cost avoid contact neccesary people stack food staying home please plunder supermarket avoid creating panic cost please,Positive
youre stuck inside due covid maybe bit online shopping tight mug sip immunity building herbal tea from,Negative
i m going today stock food tp hear gone store anyway hardly test nh virus struck town see ya month staycation staysafe covid notravel,Positive
h e b preparing covid amp strong position keep replenishing shelf customer panic continue restock shelf encourage preparedness stockpiling please buy need amp leave neighbor behind you,Positive
crazy line shopritestores supermarket coronona covid,Negative
gym dirty limited run hike due rain over stock food toilet paper wonderful were getting fat together die coronaviruspandemic coronavirus corona,Negative
iamshafaatali trend seen every emerg mkt start covid carry inducing foreigner invest bond flow reversed since feb end amp bond price fallen past day obv pak em wi,Negative
panic purchasing covid remember buy extra food supply pet quarantined too,Negative
everyone get bit extra stock grocery store yesterday coronaviruscare bepreparednotpanicked covid,Neutral
unfortunate certain people making money people s fear skyrocketing price store causing massive shortage stop buying mask people it doesnt protect getting infection one need arent covid,Negative
covid affecting nigeria economy oil price fel around per barrel bad news headline began flow nigerian stock market lost trilion stable since lost value dolar paralel market,Negative
panicbuying supermarket nyon switzerland near geneva hour who declares europe new epicentre covid pandemic new coronavirus story hpw,Neutral
thankfulthursday addition healthworkers getting u covid want make special shout retailheros working chaos keeping peace canadian flock grocery store pharmacy grateful today,Positive
okay we ll fine torbay never actually realised many infectious disease expert town offering knowledge amp expertise various local spotted fb page too covid,Positive
coronovirus showing true color greedy amp selfish people grocery store one guy got thrown store give couple pack wipe hoarded woman kid panicbuying covid coronaoutbreak a hole,Negative
global crisis underway per medium stock market plummeting oil price crashing amp coronavirus pandemic world need avenger crudeoil covid stockmarketcrash,Negative
i m gonna call wrap now anyone need advice stock covid apocalypse coming dm me happy help write grocery list help take stock may need make good fuckin food,Positive
buying beer supermarket middle hoarding chaos man approached me thats like idea quarantaine covid netherlands,Negative
husband got back grocery store said overheard two soccer mom bitching expired gummy vitamin upside well facing purge coronapocalypse covid panicbuying,Negative
applies forever grateful abundance amp variety food available you amazing watching shelf restocked grocery store virus aint shit compared food shortage live good time covid coronaoutbreak coronaoutbreak quarantineandchill,Positive
missing market open grocery shopping line wrap back store manager loudspeaker trying calm customer toilet paper dream stock stockmarket daytrading bbtfamily covid coronaoutbreak,Positive
anxiety level high covid last thing want get scammed purchasing the cure line right cure ahem alex jones check retailer protect consumer thanks droz shopping retail,Positive
based grocery store shelf yesterday cheez it folk remedy covid,Neutral
virus attack need stock food supply meanwhile america coronapocalypse covid coronavirus,Negative
guy passed case beer grocery store thing overflowing cart peanut coronaviruspandemic priority covid coronavirus,Neutral
nearby grocery store almost frozen fruit completely gone except shit ton frozen mango mangoesaregood covid coronapocalypse covid,Negative
rexalldrugstore soooo come pack doubleroll toilet paper elgin street store ottawa wildly outrageous sum this see price pack better ottnews covid,Negative
world collapsing a stockmarket b human contact decreasing c school closed d travelban e food price increasing f fighting several destination g opportunistics joy h gathering cancelled coronaviruspandemic coronaoutbreak covid wuhanvirus,Negative
pls mindful amp kind other remember people food supply public transport healthcare amp service can t work home cope increased workload people s panic pls respect them keep country going time crisis covid,Positive
light president mcrobbies covid message march iu surplus closing retail store monday march sunday april continue provide service iu department time,Neutral
covid uk got u worried shopping buy xtra item local foodbanks shop one like local tesco tescoantrimcomm check online let try help everyone stay safe community covid,Positive
let s see long covid survives dublin rental price,Neutral
saw man buying canned tomato tuna pasta berate supermarket worker supermarket empty shelf madness panicbuying covid apocalypse,Negative
wish people level panic concern gmos industrial food system amp manufactured environmental toxin ijs covid,Negative
winco front street boise water gone frozen food flying self shopping cart full every lane line medicine cold flu stock,Negative
