OriginalTweet,Sentiment
trending new yorkers encounter empty supermarket shelf pictured german brooklynconfusion sold out online grocer foodkick maxdeliveryconfusion coronavirus fearing shopper stock,Negative
find hand sanitizer fred meyer turned amazon pack purell check coronavirus concern driving price,Positive
find protect loved one coronavirus,Positive
panic buying hit network city anxious shopper stock food amp medical supply healthcare worker i becomes bigapple it confirmed coronavirus patient bloomer staged event canon canon canon election cac,Negative
toiletpaper dunnypaper coronavirus coronavirusaustralia coronavirusupdate couid news forbid newsman dunnypapergate costco one week everyone buying baby milk powder next everyone buying toilet paper,Neutral
remember last time paid gallon regular gas los angeles price pump going down look coronavirus impacting price am abc,Neutral
voting age coronavirus hand sanitizer supertuesday,Positive
drtedros we can i stop couid without protecting healthworkers price surgical mask increased six fold i respirator trebled amp gown cost twice much drtedros coronavirus,Neutral
hi twitter pharmacist sell hand sanitizer living exists like mask sold fuck everywhere worried no use soap visit twenty pharmacy looking last bottle no pharmacy full sick people,Negative
anyone supermarket last day went normal shop last night amp is sight greeted me barmy bow what i special tinned tomato confusion couid dublin,Positive
best quality couch unbelievably low price available order boksburg go info whatsapp supertuesdsy powerball couid sayentrepreneur desu,Positive
beware counterfeit trying sell fake mask cheap price let i defeat coronavirus threat couid collectively besame beacascader coronavirusreachesdelhi coronavirusindia,Negative
panic food buying germany due coronavirus begun organic left behind hamsterkauf panic buying called hamster purchase hamsterkufeconfusion german taken way hamster stuff cheek food,Negative
couid went grocery store turn cleaning supply bought fear coronavirus daughter i substitute teacher showed class make hand sanitizer need buy alcohol wish luck store it,Positive
busy watching election return bracing couid outbreak trump nominated chemical industry lobbyist head consumer product safety commission,Positive
airsewa flyspicejet providing webchecin customer free seat passenger forced choose paid seat free seat made available airport counter stopped it i discriminatory traveller right hardeepspuri mock goi,Negative
precautionary measure taken respective restaurant hotel comment below couid coronavirus couid hotel chain enforce precautionary measure issue safety hygiene advisory,Positive
you re stockpiling food amp supply buy extra local food bank many family don i luxury spend beyond weekly budget dailybreadto coronavirus,Neutral
